Material Code,Material Description,Unit,Quantity,Weight,PO Number,IBD Number
65102047,ANULLEX BHT (FOOD GRADE),Cartons,25,25,4522559552,
65102043,BRIQUEST ADPA - 60A(DEQUEST 2010),Drums,35,35,4522559552,
65102030,DISSOLVINE NA,Bags,50,50,4522559552,
21007505,EGDS/TEGIN EGDS(NAGASSE/DEGUSSA/GOLDSH,Bags,275,275,4522559552,
65102056,EUROCERT BRILLIANT BLUEFCF (312507L05),Cans,1,1,4522559552,
68736871,BRAHMANA LF 094720D,Drums,75,75,4522559552,
21045881,CARINA UN 286708 BIAD,Drums,40,40,4522559552,
65101728,LAURIC FLAKES 99%,Bags,1425,1425,4522559552,
65102064,MITAINE CA(S)CAPB,IBC Tanks,2300,2300,4522559552,
65102093,PALMITIC ACID C-16FLAKES,Drums,100,100,4522559552,
65102096,POTASSIUM CHLORIDE / KCL,Bags,1700,1700,4522559552,
65102054,POTASSIUM HYDROXIDE,Bags,600,600,4522559552,
65101798,TEXAPON N 701/ EMAL 170N(SLES 70% 1EO),IBC Tanks,400,400,4522559552,
21045878,HPMC High OHPO 12000,Drums,100,100,4522559552,
21111087,SILVER OXIDE SOLUTION A01 0.15%,Drums,20,20,4522559552,
68413494,LBHW PUMP 200ML TOTAL Khaleesi,Cartons,12.5,12.5,4522559552,
67380504,LB HW RED TAPE 100 M,ROL,150,150,4522559552,
