Material Code,Material Description,Unit,Quantity,Weight,PO Number,IBD Number
68357151,FRAG: BRAHMANA UN 286238 GB,Drums,180,180,4522618833,
68604914,COSMENYL CARMINE FB 01(CI 12490),Cans,10,10,4522618833,
65105409,FLEXONYL YELW G100-INCL 11680 DISPERSION,Cans,10,10,4522618833,
21111087,Silver Oxide solution,Drums,200,200,4522618833,
65101728,LAURIC FLAKES 99%,Bags,1450,1450,4522618833,
65102103,SUNFLOWER OLEIC OILREFINED-A1,Cans,8,8,4522618833,
65102019,TINOPAL CBS X,Cartons,30,30,4522618833,
65102028,TITANIUM DIOXIDE (TIONA,Bags,625,625,4522618833,
20287571,Frag.Nature Wave UN 286321 IAB,Drums,125,125,4522618833,
65101791,NEEM TREE LEAF HS,Cans,0.1,0.1,4522618833,
67734237,FRAG: SMILE AND CARE BAR BB 414498 M,Drums,30,30,4522618833,
68561538,Frag HER Majesty,Drums,1180,1180,4522618833,
68556802,Frag. Beautifully SP LF 474652,Drums,250,250,4522618833,
68660273,LB TOTAL 72G WRAPPER,Pallets,510,510,4522618833,
65102490,LB Stiffener 72 gm,Pallets,1010,1010,4522618833,
68811826,LB Outer 72 gm,Bundles,10,10,4522618833,
68528152,LUX 175G WRAPPER WHITE,Pallets,120,120,4522618833,
68689878,LUX 175G WRAPPER PINK,Pallets,120,120,4522618833,
68660249,LB care 72G WRAPPER,Pallets,25,25,4522618833,
65103065,Lux/LB white tape,ROL,18,18,4522618833,
