Material Code,Material Description,Unit,Quantity,Weight,PO Number,IBD Number
65101798,TEXAPON N 701/ EMAL 170N(SLES 70% 1EO),Drums,3000,3000,4522510673,
65102064,MITAINE CA(S)CAPB,IBC Tanks,1000,1000,4522510673,
65105437,POLYOX N - 60 K,Cartons,15,15,4522510673,
67120379,GUAR HYDROXYPROPYLTRIMONIUM CHLRIDE 93%,Bags,15,15,4522510673,
65101735,JAGUAR C 17 / AD ( NHANCE BF 17 ),Bags,10,10,4522510673,
65101799,DISSOLVINE NA2DI SODIUM EDTA (PURE/AR),Bags,25,25,4522510673,
65101811,KATHON CG PK,Bags,25,25,4522510673,
65105431,CLIMBAZOLE PK,Bags,1.5,1.5,4522510673,
65110795,REFINED SALT,Bags,200,200,4522510673,
65105433,ZINC GLUCONATE PK,Bags,1,1,4522510673,
65102072,TIMIRON MP – 115,Cartons,13,13,4522510673,
68138067,EUPERLAN KE 4776(EGDS + NA BEN),Drums,800,800,4522510673,
67587779,DOVE HFR CAP 360ML,Cartons,27,27,4522510673,
67594388,DOVE HFR LABLD BTL 175ML,Cartons,28,28,4522510673,
67594404,DOVE HFR LABLD BTL 360ML,Cartons,27,27,4522510673,
67587772,DOVE HFR CAP 175ML,Cartons,28,28,4522510673,
65102056,EUROCERT BRILLIANT BLUEFCF (312507L05),Bags,0.5,0.5,4522510673,
65105430,HELIANTHUS ANNUS (SUNFLOWER) SEED OIL,Bags,0.5,0.5,4522510673,
65105439,DC 949 (35%),Drums,50,50,4522510673,
65105438,PERFUME SATURNE P,Drums,50,50,4522510673,
