Material Code,,Unit,Quantity,Weight,PO Number,IBD Number
65102047,ANULLEX BHT (FOOD GRADE),CANS,50,50,4519770130,
65102030,DISSOLVINE NA,BAGS,175,175,4519770130,
21007505,EGDS/TEGIN EGDS(NAGASSE/DEGUSSA/GOLDSH,BAGS,320,320,4519770130,
65102045,GLYCRINE CP,DRUMS,250,250,4519770130,
65101728,LAURIC FLAKES 99%,BAGS,1575,1575,4519770130,
65102092,MYRISTIC ACID C-14FLAKES,BAGS,2500,2500,4519770130,
65102092,MYRISTIC ACID C-14FLAKES,BAGS,500,500,4519770130,
65102093,PALMITIC ACID C-16FLAKES,BAGS,1200,1200,4519770130,
65102096,POTASSIUM CHLORIDE / KCL,BAGS,2000,2000,4519770130,
65102054,POTASSIUM HYDROXIDE,CANS,1000,1000,4519770130,
65102054,POTASSIUM HYDROXIDE,CANS,1000,1000,4519770130,
65102054,POTASSIUM HYDROXIDE,CANS,75,75,4519770130,
65102054,POTASSIUM HYDROXIDE,CANS,1025,1025,4519770130,
21111087,SILVER OXIDE SOLUTION A01 0.15%,DRUMS,15,15,4519770130,
21111023,VP60/VA40 COPOLYMER,CARTONS,5,5,4519770130,
67231769,PHENYOXYETHANOL+PIROCTONEOLAMINE+PG,BAGS,200,200,4519770130,
