Material Code,Material Description,Unit,Quantity,Weight,PO Number,IBD Number
65101798,TEXAPON N 701,IBC Tanks,2040,2040,0,
67012580,CE 1788/ SLM 630,IBC Tanks,454.5,454.5,0,
65101837,FRESH RELOADED ,Drums,27.8,27.8,0,
65102064,MITAINE CA(S)CAPB,IBC Tanks,538.3,538.3,0,
65101785,CARBOPOL 980 A01,Cartons,40.4,40.4,0,
68414554,ZINC PYRITHIONZINC OMADINE,Cartons,105,105,0,
65105437,POLYOX N - 60 K,Cartons,2.5,2.5,0,
67120379,GUAR HPT CHLORIDE (C14S) ,Bags,7.6,7.6,0,
65102072,TIMIRON MP – 115,Cartons,4.5,4.5,0,
65101735,JAGUAR C 17 / AD,Bags,2.5,2.5,0,
68596552,PIGMENT BLACK,Cans,6.3,6.3,0,
65101799,DISSOLVINE NA2DI,Bags,2.5,2.5,0,
32232331,NIPAGUARD DMDMHMARASERVE DMDH,Cartons,5.1,5.1,0,
65101811,KATHON CG PK,Cartons,3,3,0,
65101771,HYDROLACTIN 2500,Bags,0.1,0.1,0,
65101775,L-LYSINE MONO-HYDROCHLORIDE,Cans,1,1,0,
65101806,ZINC SULFATEHEPTAHYDRATE,Cans,5.1,5.1,0,
65101870,CAUSTIC SODA FLAKES97 % +/- 1,Bags,21.2,21.2,0,
65105430,HELIANTHUS ANNUS (SUNFLOWER) SEED OIL(DOVE+CLEAR),Cans,3,3,0,
65110795,REFINED SALT,Bags,101,101,0,
65102056,EUROCERT BRILLIANT BLUEFCF (312507L05),Cans,118.7,118.7,0,
65102046,FD&C YELLOW NO5(307008P20),Cans,252.5,252.5,0,
65101791,NEEM TREE LEAF HS,Cans,0.1,0.1,0,
65101749,EXTRAPONE AMLA(AMALKI) FRUIT GW 139680,Cans,0.1,0.1,0,
67996546,CI 14700 RED 1 DYE COSMETIC GRADE New,Cans,40.4,40.4,0,
32232291,SODIUM SALICYLATE 99%,Cans,15.2,15.2,0,
67012584,DC7128 NB / UL2899,Drums,84.3,84.3,0,
65111044,CITRIC ACID MONOHYDRATE,Bags,5.6,5.6,0,
65101801,MENTHOL RACEMIC,Cans,0.5,0.5,0,
67731337,CESMETIC BB18,Cans,10.1,10.1,0,
67745680,GLYCINE A01,Drums,1,1,0,
67745679,TAURINE A01,Cans,0.1,0.1,0,
67774620,NAUTILIUM 10 AB EZ,Cans,35.4,35.4,0,
68196167,ALOE BARBADENSIS LEAF JUICE PRES ( LBS NEW),Cans,0.1,0.1,0,
65101760,PHENOXY ETHANOL P10PHENOXETOL,Drums,25.3,25.3,0,
67053972,LIFEBUOY 100ML HERBAL CAP,Cartons,10.8,10.8,0,
67053898,LIFEBYOY 175ML HERBAL CAP,Cartons,5.6,5.6,0,
67053922,LIFEBUOY 375ML HERBAL CAP,Cartons,5.6,5.6,0,
65107836,CLEAR COOL BLK SHINE 90ML CAPS,Cartons,12.2,12.2,0,
65107843,CLEAR BLUE CAPS 200ML,Cartons,10.5,10.5,0,
65107806,CLEAR COOL BLK SHINE 400ML CAPS,Cartons,5.1,5.1,0,
68202606,CLEAR 200ML CERMEX OUTER,Bundles,0.4,0.4,0,
68675236,CLEAR 380ML CERMEX OUTER,Bundles,0.4,0.4,0,
67826781,LIFEBUOY SHAMPOO 175ML OUTER 6 bundle,Bundles,0.2,0.2,0,
67053889,LIFEBUOY SHAMPOO 375ML OUTER,Bundles,0.2,0.2,0,
68202607,LIFEBUOY 650ML CERMEX OUTER,Bundles,0.5,0.5,0,
67625440,OUTER FOR LBS 90ML PK,Bundles,0.2,0.2,0,
68202608,CLEAR 80ML CERMEX OUTER,Bundles,0.3,0.3,0,
68202662,LIFEBUOY 175ML HERBAL LABELED BOTTLE,Cartons,6,6,0,
68202646,LBLD BTL LB SHAMPOO HERBAL C03 6X650ML,Cartons,3,3,0,
68202676,LIFEBUOY SHMP HERBAL LBLD BTL 90ML,Cartons,11,11,0,
67764353,CLEAR SHAMP BLCK SHINE 200ML LBLD BOTTLE,Cartons,11,11,0,
67764374,CLEAR SHAMPOO COOL BLCK 80ML LBLD BOTTLE,Cartons,12,12,0,
68915008,LBLD BTL LB SHAMP HERBAL 370ML,Cartons,3,3,0,
68675193,LBLD BTL CLEAR SHAMP BLACK SHINE 380ML,Cartons,5,5,0,
65103070,SELF ADHESIVE TAPE 990MTR,ROL,2,2,0,
