Material Code,Material Description,Unit,Quantity,Weight,PO Number,IBD Number
67594388,DOVE HFR LABLD BTL 175ML,Cartons,27,27,4522545772,
67587772,DOVE HFR CAP 175ML,Cartons,27,27,4522545772,
67594390,DOVE DC LABLD BTL 175ML,Cartons,27,27,4522545772,
67587766,DOVE DC CAP 175ML,Cartons,27,27,4522545772,
67594398,DOVE NOC LABLD BTL 175ML,Cartons,27,27,4522545772,
67587771,DOVE NOC CAP 175ML,Cartons,27,27,4522545772,
67594400,DOVE NOC LABLD BTL 360ML,Cartons,14,14,4522545772,
67587778,DOVE NOC CAP 360ML,Cartons,14,14,4522545772,
67594408,DOVE DC LABLD BTL 360ML,Cartons,14,14,4522545772,
67587774,DOVE DC CAP 360ML,Cartons,14,14,4522545772,
67784087,TAPE DOVE NOC AUTO,Cartons,3,3,4522545774,
67784091,TAPE DOVE DC AUTO,Cartons,6,6,4522545774,
68202609,DOVE 175ML CERMEX OUTER,Bundles,4,4,4522545774,
68202611,DOVE 360ML CERMEX OUTER,Bundles,3,3,4522545774,
