Material Code,Material Description,Unit,Quantity,Weight,PO Number,IBD Number
67012585,SLM 9810 MS,IBC Tanks,1000,1000,4522086790,
65101799,DISSOLVINE NA2DI SODIUM EDTA (PURE/AR),Bags,20,20,4522086790,
68138067,EUPERLAN KE 4776(EGDS + NA BEN),Drums,1000,1000,4522086790,
65107547,GLUCONOLACTONE,Bags,50,50,4522086790,
65102045,GLYCRINE CP,Drums,200,200,4522086790,
65105430,HELIANTHUS ANNUS (SUNFLOWER) SEED OIL,Cans,4,4,4522086790,
65101775,L-LYSINE MONO-HYDROCHLORIDE,Bags,5,5,4522086790,
65102097,OPULYN 301,Drums,100,100,4522086790,
65107549,SODIUM SULFATE,Bags,20,20,4522086790,
65101798,TEXAPON N 701/ EMAL 170N(SLES 70% 1EO),Drums,2000,2000,4522086790,
65107546,TREHALOSE A01,Cartons,20,20,4522086790,
21084201,ACRYLATES - ACULYN 28 (20%) A01,Drums,150,150,4522086790,
