Material Code,Material Description,Unit,Quantity,Weight,PO Number,IBD Number
65101785,CARBOPOL 980 A01,Cartons,20,20,4522494266,
65101857,PARSOL MCXUVINUL MC 80,Drums,250,250,4522494266,
65101858,BUTYL METHOXY DIBENZOYLMETHANE,Cans,20,20,4522494266,
65101858,BUTYL METHOXY DIBENZOYLMETHANE,Cans,5,5,4522494266,
65101860,NIACINAMIDEE(NICOTINAMIDE) BP,Cartons,200,200,4522494266,
65101864,PALMESTER 1514ISOPROPYL MYRISTATE,Drums,180,180,4522494266,
67902324,SUNSILK SHAMPOO BLCKSHN 80ML LBLD BOTTLE,Cage,35.376,35.376,4522494266,
68388227,LBLD BTL SSK SHMP HAIRFALL 6X680ML,Cage,5.6,5.6,4522494266,
67784093,TAPE DOVE IR AUTO,ROL,2,2,4522494266,
67617282,DOVE SHMP HFR 700ML PUMP,Cartons,8.100,8.100,4522494266,
68712053,LBLD BTL DOVE SHAMP HAIRFAL RESC 680ML,Cage,8.000,8.000,4522494266,
68712051,OUTER DOVE SHAMP 680ML,Bundles,1.200,1.200,4522494266,
