Material Code,,Unit,Quantity,Weight,PO Number,IBD Number
67020148,SHRINK WRAP (RW 255MM),ROL,6,6,4520484833,
65102047,ANULLEX BHT (FOOD GRADE),Bags,25,25,4520480528,
65102043,BRIQUEST ADPA - 60A(DEQUEST 2010),Drums,250,250,4520480528,
65102030,DISSOLVINE NA,Bags,50,50,4520480528,
21007505,EGDS/TEGIN EGDS(NAGASSE/DEGUSSA/GOLDSH,Bags,560,560,4520480528,
65102045,GLYCRINE CP,Drums,250,250,4520480528,
65105439,DC 949 (35%),Cans,7,7,4520480570,
65107547,GLUCONOLACTONE,Bags,42,42,4520480570,
65102045,GLYCRINE CP,Drums,250,250,4520480570,
65102097,OPULYN 301,Drums,85,85,4520480570,
65105438,PERFUME SATURNE P,Drums,45,45,4520480570,
65107549,SODIUM SULFATE,Bags,10,10,4520480570,
21084201,ACRYLATES - ACULYN 28 (20%) A01,Bags,60,60,4520480570,
68138067,EUPERLAN KE 4776(EGDS + NA BEN),IBC Tank,600,600,4520480575,
