Material Code,Material Description,Unit,Quantity,Weight,PO Number,IBD Number
65102045,GLYCRINE CP,Drums,20,20,4522670058,
65101859,SALIGIN MPNIPAGIN M,Cartons,6,6,4522670058,
65102054,POTASSIUM HYDROXIDE,Bags,11.38,11.38,4522670058,
67500324,MASS BALANCE STEARIC ACID,Bags,340,340,4522670058,
65101799,DISSOLVINE NA2DI SODIUM EDTA (PURE/AR),Bags,0.8,0.8,4522670058,
65101862,XIAMETER PMX-200SILICONE FLUID 350 CS,Drums,10,10,4522670058,
65101861,SALIGIN PPNIPASOL M,Bags,2,2,4522670058,
65101857,PARSOL MCXUVINUL MC 80,Cartons,15,15,4522670058,
65101780,MICRO TITANIUM DIOXIDEMT-100Z,Bags,12,12,4522670058,
65101814,MP-40,Bags,6,6,4522670058,
65101731,SALLITOINALLANTOIN EP/USP,Cartons,4,4,4522670058,
65101860,NIACINAMIDEE(NICOTINAMIDE) BP,Cartons,310,310,4522670058,
65101760,PHENOXY ETHANOL P10PHENOXETOL,Drums,4,4,4522670058,
65101813,PYRIDOXINE HYDROCHLORIDE,Bags,0.2,0.2,4522670058,
65101734,STAY-C 50SODIUM ASCORBYL PHOSPHAT,Bags,5,5,4522670058,
67996546,CI 14700 RED 1 DYE COSMETIC GRADE,Bags,20,20,4522670058,
67393573,FRAG SC 3237N LEIA LF,Drums,7,7,4522670058,
65101722,VITAMIN E OIL 96% MINDL-ALPHA TOCOPHERYL,Cans,5,5,4522670058,
20266556,12-HYDROXYSTEARIC ACID,Bags,2,2,4522670058,
65101864,PALMESTER 1514ISOPROPYL MYRISTATE,Drums,140.5,140.5,4522670058,
65101866,TRIETHANOLAMINE (97 % AS,Drums,84.25,84.25,4522670058,
65102055,CETYL ALCOHAL,Cans,42,42,4522670058,
65101785,CARBOPOL 980 A01,Cartons,22,22,4522670058,
65101858,BUTYL METHOXY DIBENZOYLMETHANE,Bags,22,22,4522670058,
65103070,SELF ADHESIVE TAPE 990MTR,ROL,25,25,4522670058,
65103069,UNILEVER SELF ADHSV100MOPP TAPE,ROL,50,50,4522670058,
