Material Code,,Unit,Quantity,Weight,PO Number,IBD Number
65101765,WHIMOL 15(WHITE OIL),Drums,3000,3000,4521457969,
65101788,ALCOL LAUREX CS,Bags,125,125,4521457969,
65101792,MULTIWAX ML 445 H,Drums,25,25,4521457969,
65101861,SALIGIN PPNIPASOL M,Bags,10,10,4521457969,
65101859,SALIGIN MPNIPAGIN M,Bags,15,15,4521457969,
65101772,NEO HELIOPAN BB (116210),Bags,2,2,4521457969,
65102045,GLYCRINE CP,Drums,250,250,4521457969,
65101722,VITAMIN E OIL 96% MINDL-ALPHA TOCOPHERYL,Cans,10,10,4521457969,
65101827,SODIUM CARBOXYMETHYL CELLULOSE 95% MIN,Bags,25,25,4521457969,
65101734,STAY-C 50SODIUM ASCORBYL PHOSPHAT,Cartons,3,3,4521457969,
65101732,LANETTE E,Bags,30,30,4521457969,
65101825,SIMETHICONE ANTIFOAM1500,Drums,2,2,4521457969,
20267123,PRUNUS AMYGDALUS DULCIS RM,Drums,2,2,4521457969,
68213895,FEATHER BEAUTY 853747,Drums,15,15,4521457969,
