Material Code,Material Description,Unit,Quantity,Weight,PO Number,IBD Number
20287571,FRAG: NATURE WAVE UN 286321 IAB,Drums,360,360,4520133470,
21107047,ACTIVESILK ESSENTIAL,Cans,40,40,4520133470,
21111023,VP60/VA40 COPOLYMER,Cans,120,120,4520133470,
65101722,VITAMIN E OIL 96% MINDL-ALPHA TOCOPHERYL,Cans,40,40,4520133470,
65101756,TALCUM POWDER,Bags,10000,10000,4520133470,
65102019,TINOPAL CBS X,Cartons,75,75,4520133470,
65102028,TITANIUM DIOXIDE (TIONA,Bags,1775,1775,4520133470,
65102075,COSMENYL CARMINE FB 01(CI 12490),Cans,240,240,4520133470,
65105409,FLEXONYL YELW G100-INCL 11680 DISPERSION,Cans,180,180,4520133470,
68561538,FRAG HER MAJESTY TS BL,Drums,5220,5220,4520133470,
65101791,NEEM TREE LEAF HS,Cans,0.2,0.2,4520133470,
67797985,CI74260 PIGMENT GREN7 46% DISP+POE/CAPG,Cans,3,3,4520133470,
