Material Code,Material Description,Unit,Quantity,Weight,PO Number,IBD Number
67500324,MASS BALANCE STEARIC ACID,Bags,300,300,4522567073,
65101860,NIACINAMIDEE(NICOTINAMIDE) BP,Cartons,300,300,4522567073,
65101864,PALMESTER 1514ISOPROPYL MYRISTATE,Drums,200,200,4522567073,
65101857,PARSOL MCXUVINUL MC 80,Bags,100,100,4522567073,
65102045,GLYCRINE CP,Drums,250,250,4522567073,
65101866,TRIETHANOLAMINE (97 % AS,Cartons,100,100,4522567073,
65102055,CETYL ALCOHAL,Bags,50,50,4522567073,
65101785,CARBOPOL 980 A01,Cartons,40,40,4522567073,
65101858,BUTYL METHOXY DIBENZOYLMETHANE,Bags,50,50,4522567073,
65101859,SALIGIN MPNIPAGIN M,Cartons,25,25,4522567073,
65101861,SALIGIN PPNIPASOL M,Cartons,25,25,4522567073,
65101731,SALLITOINALLANTOIN EP/USP,Cartons,5,5,4522567073,
65101722,VITAMIN E OIL 96% MINDL-ALPHA TOCOPHERYL,Cans,5,5,4522567073,
65101870,CAUSTIC SODA FLAKES97 % +/- 1,Bags,5,5,4522567073,
65101799,DISSOLVINE NA2DI SODIUM EDTA (PURE/AR),Bags,5,5,4522567073,
65101734,STAY-C 50SODIUM ASCORBYL PHOSPHAT,Bags,0.5,0.5,4522567073,
65101760,PHENOXY ETHANOL P10PHENOXETOL,Drums,50,50,4522567073,
65101814,MP-40,Bags,10,10,4522567073,
65101780,MICRO TITANIUM DIOXIDEMT-100Z,Bags,10,10,4522567073,
