Material Code,Material Description,Unit,Quantity,Weight,PO Number,IBD Number
67594390,DOVE DC LABLD BTL 175ML,IBC Tanks,5.94,5.94,4522782466,
67594390,DOVE DC LABLD BTL 175ML,IBC Tanks,19.8,19.8,4522782466,
67594390,DOVE DC LABLD BTL 175ML,IBC Tanks,2.2,2.2,4522782466,
67594404,DOVE HFR LABLD BTL 360ML,IBC Tanks,3.84,3.84,4522782466,
67594404,DOVE HFR LABLD BTL 360ML,IBC Tanks,10.4,10.4,4522782466,
67594408,DOVE DC LABLD BTL 360ML,IBC Tanks,14.72,14.72,4522782466,
67784091,TAPE DOVE DC AUTO,ROL,2,2,4522782466,
67587766,DOVE DC CAP 175ML,Cartons,8,8,4522782466,
67587766,DOVE DC CAP 175ML,Cartons,20,20,4522782466,
67587771,DOVE NOC CAP 175ML,Cartons,16,16,4522782466,
67587774,DOVE DC CAP 360ML,Cartons,14,14,4522782466,
67587779,DOVE HFR CAP 360ML,Cartons,14,14,4522782466,
67594398,DOVE NOC LABLD BTL 175ML,IBC Tanks,0.825,0.825,4522782466,
67594398,DOVE NOC LABLD BTL 175ML,IBC Tanks,4.125,4.125,4522782466,
67594398,DOVE NOC LABLD BTL 175ML,IBC Tanks,3.3,3.3,4522782466,
67594398,DOVE NOC LABLD BTL 175ML,IBC Tanks,3.155,3.155,4522782466,
68202609,DOVE 175ML CERMEX OUTER,Bundles,0.76,0.76,4522782466,
68202609,DOVE 175ML CERMEX OUTER,Bundles,3.24,3.24,4522782466,
68202611,DOVE 360ML CERMEX OUTER,Bundles,2.2,2.2,4522782466,
