Material Code,Material Description,Unit,Quantity,Weight,PO Number,IBD Number
68138067,EUPERLAN KE 4776(EGDS + NA BEN),Drums,104,104,4522518933,
67120379,GUAR HYDROXYPROPYLTRIMONIUM CHLRIDE 93%,Bags,11,11,4522518933,
65101723,FD&C YELLOW NO6307009 (CI NO 15985),Cans,0.005,0.005,4522518933,
65101735,JAGUAR C 17 / AD ( NHANCE BF 17 ),Bags,3,3,4522518933,
65102072,TIMIRON MP – 115,Cartons,5,5,4522518933,
65101798,TEXAPON N 701/ EMAL 170N(SLES 70% 1EO),IBC Tanks,500,500,4522518933,
65101811,KATHON CG PK,Cartons,3,3,4522518933,
65101870,CAUSTIC SODA FLAKES97 % +/- 1,Bags,17.5,17.5,4522518933,
65102045,GLYCRINE CP,Drums,25,25,4522518933,
65102046,FD&C YELLOW NO5(307008P20),Cartons,4.9,4.9,4522518933,
67012585,SLM 9810 M5,IBC Tanks,333.5,333.5,4522518933,
65105437,POLYOX N - 60 K,Cartons,3,3,4522518933,
65105438,PERFUME SATURNE P,Drums,32.5,32.5,4522518933,
65110795,REFINED SALT,Bags,50,50,4522518933,
65111044,CITRIC ACID MONOHYDRATE,Bags,10,10,4522518933,
32232331,DMDM HYDANTOIN 0.09% FF,Cans,5,5,4522518933,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
